	-12.55	0.04
ypr	-99.28	-12.55	0.04
ypr	-99.19	-12.55	0.04
ypr	-99.10	-12.56	0.04
ypr	-99.01	-12.55	0.04
ypr	-98.92	-12.56	0.04
ypr	-98.84	-12.56	0.04
ypr	-98.74	-12.56	0.04
ypr	-98.65	-12.56	0.04
ypr	-98.52	-12.52	0.07
FIFO overflow!
ypr	-96.18	-12.56	0.04
ypr	-96.10	-12.56	0.04
ypr	-96.00	-12.56	0.04
ypr	-95.92	-12.56	0.04
ypr	-95.83	-12.56	0.04
ypr	-95.74	-12.56	0.04
ypr	-95.65	-12.56	0.04
ypr	-95.57	-12.56	0.05
ypr	-95.48	-12.56	0.05
ypr	-95.38	-12.56	0.04
ypr	-95.30	-12.55	0.04
ypr	-95.22	-12.55	0.04
ypr	-95.12	-12.55	0.04
ypr	-95.04	-12.55	0.04
ypr	-94.95	-12.56	0.04
ypr	-94.85	-12.56	0.04
ypr	-94.77	-12.56	0.04
ypr	-94.67	-12.56	0.04
ypr	-94.59	-12.56	0.04
ypr	-94.50	-12.57	0.04
ypr	-94.41	-12.57	0.04
FIFO overflow!
ypr	-92.12	-12.55	0.04
ypr	-92.03	-12.55	0.04
ypr	-91.94	-12.55	0.04
ypr	-91.85	-12.56	0.05
ypr	-91.77	-12.56	0.05
ypr	-91.68	-12.56	0.05
ypr	-91.58	-12.56	0.05
ypr	-91.50	-12.56	0.05
ypr	-91.41	-12.56	0.05
ypr	-91.33	-12.56	0.05
ypr	-91.23	-12.56	0.05
ypr	-91.14	-12.56	0.05
ypr	-91.06	-12.56	0.05
ypr	-90.97	-12.56	0.05
ypr	-90.88	-12.56	0.05
ypr	-90.86	-12.51	-0.02
ypr	-90.85	-12.46	-0.08
ypr	-90.84	-12.41	-0.14
ypr	-90.83	-12.36	-0.20
ypr	-90.81	-12.31	-0.26
ypr	-90.80	-12.26	-0.32
FIFO overflow!
ypr	-90.54	-11.21	-1.57
ypr	-90.53	-11.18	-1.61
ypr	-90.52	-11.15	-1.65
ypr	-90.52	-11.12	-1.69
ypr	-90.51	-11.09	-1.73
ypr	-90.50	-11.05	-1.76
ypr	-90.50	-11.03	-1.80
ypr	-90.49	-11.00	-1.83
ypr	-90.49	-10.97	-1.87
ypr	-90.48	-10.94	-1.92
ypr	-90.47	-10.91	-1.95
ypr	-90.47	-10.88	-1.98
ypr	-90.46	-10.85	-2.01
ypr	-90.45	-10.83	-2.05
ypr	-90.45	-10.80	-2.08
ypr	-90.44	-10.77	-2.11
ypr	-90.42	-10.74	-2.14
ypr	-90.42	-10.72	-2.17
ypr	-90.41	-10.69	-2.20
FIFO overflow!
ypr	-90.30	-10.15	-2.85
ypr	-90.30	-10.13	-2.87
ypr	-90.30	-10.11	-2.89
ypr	-90.28	-10.10	-2.91
ypr	-90.28	-10.08	-2.93
ypr	-90.28	-10.06	-2.95
ypr	-90.27	-10.05	-2.97
ypr	-90.27	-10.03	-2.99
ypr	-90.27	-10.01	-3.01
ypr	-90.27	-10.00	-3.02
ypr	-90.26	-9.99	-3.04
ypr	-90.26	-9.97	-3.06
ypr	-90.26	-9.95	-3.08
ypr	-90.26	-9.94	-3.09
ypr	-90.25	-9.92	-3.11
ypr	-90.25	-9.92	-3.12
ypr	-90.25	-9.90	-3.14
ypr	-90.25	-9.89	-3.15
ypr	-90.24	-9.87	-3.17
ypr	-90.24	-9.86	-3.19
ypr	-90.24	-9.85	-3.20
FIFO overflow!
ypr	-90.28	-9.51	-3.49
ypr	-90.26	-9.50	-3.51
ypr	-90.26	-9.49	-3.52
ypr	-90.26	-9.48	-3.53
ypr	-90.26	-9.48	-3.53
ypr	-90.26	-9.47	-3.55
ypr	-90.26	-9.46	-3.56
ypr	-90.26	-9.46	-3.56
ypr	-90.26	-9.45	-3.57
ypr	-90.26	-9.44	-3.58
ypr	-90.25	-9.43	-3.59
ypr	-90.25	-9.42	-3.60
ypr	-90.25	-9.41	-3.61
ypr	-90.25	-9.41	-3.61
ypr	-90.25	-9.40	-3.62
ypr	-90.25	-9.39	-3.63
ypr	-90.25	-9.39	-3.64
ypr	-90.25	-9.38	-3.65
ypr	-90.25	-9.37	-3.65
ypr	-90.25	-9.37	-3.67
ypr	-90.24	-9.36	-3.67
FIFO overflow!
ypr	-90.19	-9.29	-3.88
ypr	-90.19	-9.29	-3.88
ypr	-90.19	-9.28	-3.89
ypr	-90.19	-9.28	-3.89
ypr	-90.19	-9.28	-3.90
ypr	-90.19	-9.28	-3.90
ypr	-90.19	-9.28	-3.91
ypr	-90.19	-9.27	-3.91
ypr	-90.19	-9.27	-3.92
ypr	-90.19	-9.26	-3.92
ypr	-90.18	-9.26	-3.93
ypr	-90.19	-9.25	-3.93
ypr	-90.18	-9.25	-3.94
ypr	-90.18	-9.25	-3.95
ypr	-90.18	-9.24	-3.95
ypr	-90.18	-9.24	-3.95
ypr	-90.18	-9.24	-3.96
ypr	-90.17	-9.24	-3.96
ypr	-90.17	-9.24	-3.97
ypr	-90.17	-9.23	-3.97
ypr	-90.17	-9.23	-3.97
FIFO overflow!
FIFO overflow!
ypr	-90.29	-8.98	-4.10
ypr	-90.29	-8.97	-4.10
ypr	-90.30	-8.98	-4.10
ypr	-90.30	-8.98	-4.10
ypr	-90.30	-8.97	-4.11
ypr	-90.30	-8.97	-4.11
ypr	-90.29	-8.98	-4.11
ypr	-90.26	-8.99	-4.12
ypr	-90.27	-8.99	-4.12
ypr	-90.23	-8.98	-4.13
ypr	-90.22	-9.00	-4.11
ypr	-90.21	-9.00	-4.11
ypr	-90.21	-8.97	-4.10
ypr	-90.43	-8.93	-4.03
ypr	-90.58	-8.86	-4.01
ypr	-90.55	-8.90	-4.12
ypr	-90.51	-8.93	-4.02
ypr	-90.51	-8.95	-4.01
ypr	-90.51	-8.90	-3.99
ypr	-90.51	-8.93	-4.01
ypr	-90.52	-8.93	-4.01
FIFO overflow!
ypr	-90.51	-8.92	-4.05
ypr	-90.51	-8.92	-4.06
ypr	-90.51	-8.92	-4.06
ypr	-90.51	-8.92	-4.06
ypr	-90.51	-8.92	-4.06
ypr	-90.51	-8.91	-4.06
ypr	-90.51	-8.91	-4.06
ypr	-90.51	-8.91	-4.06
ypr	-90.51	-8.91	-4.06
ypr	-90.51	-8.91	-4.07
ypr	-90.51	-8.91	-4.07
ypr	-90.51	-8.92	-4.08
ypr	-90.52	-8.93	-4.08
ypr	-90.52	-8.92	-4.08
ypr	-90.52	-8.94	-4.09
ypr	-90.52	-8.94	-4.09
ypr	-90.52	-8.93	-4.09
ypr	-90.52	-8.94	-4.10
ypr	-90.53	-8.94	-4.10
ypr	-90.53	-8.93	-4.10
ypr	-90.53	-8.93	-4.10
FIFO overflow!
ypr	-90.54	-8.91	-4.10
ypr	-90.54	-8.92	-4.10
ypr	-90.54	-8.92	-4.10
ypr	-90.54	-8.91	-4.10
ypr	-90.54	-8.91	-4.10
ypr	-90.54	-8.91	-4.10
ypr	-90.54	-8.91	-4.11
ypr	-90.54	-8.91	-4.11
ypr	-90.54	-8.90	-4.11
ypr	-90.54	-8.90	-4.11
ypr	-90.54	-8.90	-4.11
ypr	-90.54	-8.90	-4.11
ypr	-90.54	-8.90	-4.12
ypr	-90.54	-8.90	-4.12
ypr	-90.55	-8.91	-4.11
ypr	-90.55	-8.91	-4.12
ypr	-90.55	-8.92	-4.12
ypr	-90.55	-8.91	-4.13
ypr	-90.55	-8.91	-4.13
ypr	-90.55	-8.91	-4.12
ypr	-90.54	-8.90	-4.12
FIFO overflow!
ypr	-87.30	-7.73	11.96
ypr	-86.58	-7.47	13.53
ypr	-85.97	-7.19	14.88
ypr	-85.45	-7.03	17.09
ypr	-84.81	-7.05	20.69
ypr	-83.93	-7.22	25.40
ypr	-83.08	-7.54	30.12
ypr	-82.57	-7.96	33.98
ypr	-82.11	-8.22	36.82
ypr	-81.45	-8.04	38.79
ypr	-80.79	-7.85	40.83
